Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,2011-11-05,3025080,22786.88,Sundry Supplier,99999
Policy Team,PP01,Agency staff,Employees,2011-11-05,3025081,2130.36,Champion Recruitment,10148
Pension Costs - Compens,PY02,Pensions - Compens,Employees,2011-11-05,3025069,20567,Oxfordshire CC,10523
Pension Costs - Compens,PY02,Superannuation - ER,Employees,2011-11-05,3025069,24583.33,Oxfordshire CC,10523
Development Management,DN01,Fees and charges income,Income,2011-11-05,3025079,670,Sundry Supplier,99999
Commercial Sites,MP11,Repairs and maintenance to land and buildings,Premises,2011-11-05,3025072,603.87,Proelec Installations Ltd,10562
Revenues Client,RB04,Subscriptions,Supplies & Services,2011-11-05,3025075,2120,CIPFA,14608
Revenues Client,RB04,Subscriptions,Supplies & Services,2011-11-05,3025076,-2120,CIPFA,14608
Building Control Services,BC01,Engineering Services,Supplies & Services,2011-11-05,3025084,804,Clive Hudson Associates Ltd,10165
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,2011-11-05,3025061,1669.25,Vodafone Limited Corporate,10784
Revenues Client,RB04,Capita Contract,Third Party Payments,2011-11-05,3025074,18931.36,Capita Business Services,10129
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-12-05,3025111,23875,Catalyst Housing Group,12412
Ladygrove Loop,A180,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-12-05,3025115,28463.41,Hortech Limited Landscaping and Civil Engineering,14584
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,2011-12-05,3025109,1038.77,AVANQUEST UK LTD,10876
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-12-05,3025113,3342.66,Off The Kerb Productions,13249
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2011-12-05,3025110,650,Sundry Supplier,99999
Balance Sheet,X900,Miscellaneous Holding Account,Appropriations and other non Cipfa Sub Group Accounts,13/05/2011,3025135,2100,Sundry Supplier,99999
Balance Sheet,X900,Miscellaneous Holding Account,Appropriations and other non Cipfa Sub Group Accounts,13/05/2011,3025136,2500,Sundry Supplier,99999
Building Control Services,BC01,Agency staff,Employees,13/05/2011,3025150,725,Hays PLC,13362
Forestry,FR01,Repairs & Maintenance of Grounds,Premises,13/05/2011,3025139,900,Heritage Tree Services,10317
Computer Administration,CE99,Consultation costs,Supplies & Services,13/05/2011,3025140,8800,Adam Continuity Ltd,13810
EH - Env Protection,EH06,Dog warden services,Supplies & Services,13/05/2011,3025146,866,Barnewood Boarding Kennels,14674
Revenue Grants L&C,GR30,Grants,Supplies & Services,13/05/2011,3025133,4500,Berinsfield Amateur Boxing Club,12434
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,13/05/2011,3025149,1582.16,Hull Truck Theatre,13746
EH - Env Protection,EH06,Sub-contraced work rechargeable,Supplies & Services,13/05/2011,3025138,550,Monson Engineering Ltd,10466
EH - Env Protection,EH06,Dog warden services,Supplies & Services,13/05/2011,3025145,1245,Noahs Ark Environmental Services Ltd,14716
Benefit Fraud Investigations,RB01,Audit Fees,Supplies & Services,13/05/2011,3025141,1100,The Audit Commission,10716
Housing Act Works (was HAW Nuffield),HA01,Engineering Support -Monson,Third Party Payments,13/05/2011,3025151,843.22,Monson Engineering Ltd,10466
Land Drainage,LD01,Engineering Support -Monson,Third Party Payments,13/05/2011,3025151,647,Monson Engineering Ltd,10466
Parks and Open Spaces,OP01,Engineering Support -Monson,Third Party Payments,13/05/2011,3025151,648.95,Monson Engineering Ltd,10466
Central Planning,PA01,Engineering Support -Monson,Third Party Payments,13/05/2011,3025151,2746.27,Monson Engineering Ltd,10466
Other Car Parks,CP99,Payments to joint authorities,Third Party Payments,13/05/2011,3025144,2887.65,Vale of White Horse District Council,10774
Dual Use OCC,X800,GLL,Appropriations and other non Cipfa Sub Group Accounts,16/05/2011,3025169,8333,Greenwich Leisure Limited,13867
Kings Road Henley Toilets,WC11,Repairs and maintenance to land and buildings,Premises,16/05/2011,3025167,753,Proelec Installations Ltd,10562
Policy & Community Engagement,CB01,Professional,Supplies & Services,16/05/2011,3025166,5205,Oxfordshire County Council,10845
PC & Intelligent Terminals,CE10,Software purchase & licence,Supplies & Services,16/05/2011,3025153,5182,Phoenix Software Ltd,10541
Henley Baptist Church,A204,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,17/05/2011,3025186,41449,Henley Baptist Church,12104
Revenue Grants L&C,GR30,Grants,Supplies & Services,17/05/2011,3025181,7337,Berinsfield Information and Volunteer Centre,10905
Revenue Grants L&C,GR30,Grants,Supplies & Services,17/05/2011,3025182,5000,Footsteps Ltd,13293
Revenue Grants L&C,GR30,Grants,Supplies & Services,17/05/2011,3025183,2500,Home Start Oxfordshire,11027
Revenue Grants L&C,GR30,Grants,Supplies & Services,17/05/2011,3025184,4999,Oxford Association for the Blind,12451
Concessionary fares,GR31,Concessionary Fares -Bus Passes,Supplies & Services,17/05/2011,3025185,2018.71,Red Rose Travel,11843
Car Parks Holding Account,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,18/05/2011,3025204,21790.95,Henley On Thames Town Council,10316
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,18/05/2011,3025232,975.25,Sundry Supplier,99999
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,18/05/2011,3025233,50165.61,Sundry Supplier,99999
Land Charges,LC01,Fees and charges income,Income,18/05/2011,3025212,905,Ocella,10502
Cattle Market Wallingford Toilets,WC17,Repairs and maintenance to land and buildings,Premises,18/05/2011,3025236,840.14,N L Contractors Ltd,13255
Didcot Arts Centre,AR04,Electricity,Premises,18/05/2011,3025229,1926.5,Southern Electric plc,10665
Didcot Arts Centre,AR04,Gas,Premises,18/05/2011,3025228,744.9,SWALEC,10686
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,18/05/2011,3025211,769.36,Comodo CA Limited,13767
PC & Intelligent Terminals,CE10,Software purchase & licence,Supplies & Services,18/05/2011,3025215,750,Cristie Software Limited,13932
MFDS,CE11,Computer supplies,Supplies & Services,18/05/2011,3025202,-1869.62,Danwood Group Ltd,14607
Economic Development,ED00,Miscellaneous-Projects,Supplies & Services,18/05/2011,3025221,559.25,Ensemble Combined Services Ltd,13314
Housing Act Works (was HAW Nuffield),HA01,Engineering Services,Supplies & Services,18/05/2011,3025203,2565,Environment Agency,10235
Policy Team,PP01,Professional,Supplies & Services,18/05/2011,3025206,6536.16,Hobbs Reprographics,11941
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,18/05/2011,3025243,714.55,Makin Projects,14112
OCELLA/ORACLE,CE30,Software support and maintenance,Supplies & Services,18/05/2011,3025219,18329.64,Ocella,10502
Other Car Parks,CP99,Materials & consumables,Supplies & Services,18/05/2011,3025214,1500,Scorpion Signs,14465
Partnerships and community safety,DR01,Grants,Supplies & Services,18/05/2011,3025218,20665,Thames Valley Police Authority,10709
Council Tax Admin,RB03,Capita Contract,Third Party Payments,18/05/2011,3025222,43909,Capita Business Services,10129
NNDR Admin,RB02,Capita Contract,Third Party Payments,18/05/2011,3025222,7372,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,18/05/2011,3025222,68711.98,Capita Business Services,10129
Accounts Payable,ES02,Capita Contract,Third Party Payments,18/05/2011,3025222,2032.9,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,18/05/2011,3025222,2427.18,Capita Business Services,10129
Payroll,PY01,Capita Contract,Third Party Payments,18/05/2011,3025222,2884.1,Capita Business Services,10129
Cash Office,ES01,Capita Contract,Third Party Payments,18/05/2011,3025222,2091.57,Capita Business Services,10129
General Ledger,AC02,Capita Contract,Third Party Payments,18/05/2011,3025222,3816.04,Capita Business Services,10129
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/05/2011,3025247,19800,Kabys Landscapes Ltd,14434
Kidmore End Parish Council,A185,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/05/2011,3025245,33988,Kidmore End Parish Council,10405
EH - Food Safety,EH02,Agency staff,Employees,19/05/2011,3025246,1255.26,Champion Recruitment,10148
Refuse Collection Contract,RC01,Agency staff,Employees,20/05/2011,3025251,959.96,Champion Recruitment,10148
Green Waste Recycling,RY03,Agency staff,Employees,20/05/2011,3025252,763.68,Champion Recruitment,10148
Waste Management,A068,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,23/05/2011,3025300,3394.5,Biffa,10778
Green Waste Wheeled Bins,X173,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,23/05/2011,3025300,36720,Biffa,10778
Licences - Administration,LN01,Agency staff,Employees,23/05/2011,3025274,2922.75,Champion Recruitment,10148
Building Control Services,BC01,Agency staff,Employees,23/05/2011,3025299,725,Hays PLC,13362
General Expenses,AC03,Software support and maintenance,Supplies & Services,23/05/2011,3025301,900,ASSOCIATED CONSULTANTS LTD,10956
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,23/05/2011,3025295,1954.44,C K Productions,14469
Building Control Services,BC01,Engineering Services,Supplies & Services,23/05/2011,3025294,660,Clive Hudson Associates Ltd,10165
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,23/05/2011,3025280,1943.74,Danwood Group Ltd,14607
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,23/05/2011,3025275,950,Letting and Property Management,10422
Development Management,DN01,Computer Purchase of hardware,Supplies & Services,23/05/2011,3025292,605.69,Misco,10464
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,23/05/2011,3025306,2267.42,Phil McIntyre Entertainments,13145
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,23/05/2011,3025309,2090,RMS Services Limited,10598
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,23/05/2011,3025283,9986.99,SOUTH OXFORDSHIRE DISTRICT COUNCIL,11130
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,23/05/2011,3025284,650,Sundry Supplier,99999
Refuse Collection Contract,RC01,Waste Collection Biffa Fixed All,Third Party Payments,23/05/2011,3025300,6777.6,Biffa,10778
Street Cleansing,ST01,Waste Collection Biffa Fixed All,Third Party Payments,23/05/2011,3025300,35766.15,Biffa,10778
Recycling,RY01,Waste Collection Biffa Fixed All,Third Party Payments,23/05/2011,3025300,904.23,Biffa,10778
Recharges to Vale,RC10,Waste Collection Biffa Fixed All,Third Party Payments,23/05/2011,3025300,53459.35,Biffa,10778
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,25/05/2011,3025343,24765,Catalyst Housing Group,12412
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,25/05/2011,3025344,23772.5,Catalyst Housing Group,12412
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,25/05/2011,3025345,25010,Catalyst Housing Group,12412
Development Management,DN01,Agency staff,Employees,25/05/2011,3025326,1095.93,Champion Recruitment,10148
EH - Administration,EH01,Maintenance of equipment,Supplies & Services,25/05/2011,3025365,1176,Astraline,14731
EH - Administration,EH01,Maintenance of equipment,Supplies & Services,25/05/2011,3025366,-1176,Astraline,14731
CCTV,TV01,Maintenance contracts,Supplies & Services,25/05/2011,3025342,4625,COMPUTERISED and DIGITAL SECURITY SYSTEMS LTD,10140
General Expenses,AC03,Fees and hired services,Supplies & Services,25/05/2011,3025339,1101.6,Dun and Bradstreet Ltd,10214
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,25/05/2011,3025346,2685.88,No Third Entertainments Ltd,14466
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,25/05/2011,3025351,4362.31,Off The Kerb Productions,13249
Facilities Management,FM01,Maintenance contracts,Supplies & Services,25/05/2011,3025350,1589,Oxford Refrigeration Ltd,10521
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,25/05/2011,3025333,1400,REDACTED PERSONAL INFORMATION,10535
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,25/05/2011,3025368,1120,REDACTED PERSONAL INFORMATION,10535
Communications & Publicity,TM01,Publicity and promotion costs,Supplies & Services,25/05/2011,3025329,1445.18,Royal Mail Group Ltd,10608
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,25/05/2011,3025334,1292.13,SOUTH OXFORDSHIRE DISTRICT COUNCIL,11130
External Audit,AU02,Audit Fees,Supplies & Services,25/05/2011,3025336,9261,The Audit Commission,10716
Benefits Admin,RB05,Capita Contract,Third Party Payments,25/05/2011,3025327,23530,Capita Business Services,10129
Bank A/c,X200,Cash Interface suspense,Appropriations and other non Cipfa Sub Group Accounts,26/05/2011,3025420,1327.35,Sundry Supplier,99999
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,26/05/2011,3025418,46790.85,Sundry Supplier,99999
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,26/05/2011,3025419,12341.87,Sundry Supplier,99999
Refuse Collection Contract,RC01,Agency staff,Employees,26/05/2011,3025387,1251.66,Champion Recruitment,10148
Legal,LS01,Agency staff,Employees,26/05/2011,3025415,5907.78,Champion Recruitment,10148
Training Budget,TR00,Training - Health and Safety,Employees,26/05/2011,3025434,542,Health Response UK,14101
Pension Costs - Compens,PY02,Pensions - Compens,Employees,26/05/2011,3025427,19950.93,Oxfordshire CC,10523
Pension Costs - Compens,PY02,Superannuation - ER,Employees,26/05/2011,3025427,24583.33,Oxfordshire CC,10523
Conservation and Design,CN01,Agency staff,Employees,26/05/2011,3025402,3345.55,The Conservation Studio Ltd,14725
Conservation and Design,CN01,Agency staff,Employees,26/05/2011,3025403,1987.35,The Conservation Studio Ltd,14725
Facilities Management,FM01,Gas,Premises,26/05/2011,3025390,1046.8,British Gas Trading Ltd,13816
Market House Thame Toilets,WC23,Electricity,Premises,26/05/2011,3025388,1112.6,EON,12090
Facilities Management,FM01,Electricity,Premises,26/05/2011,3025394,3629.01,Southern Electric plc,10665
Facilities Management,FM01,Water rates,Premises,26/05/2011,3025389,3211.55,THAMES WATER UTILITIES Ltd,10712
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,26/05/2011,3025446,650,China Plate Productions Limited,14743
Revenue Grants L&C,GR30,Grants,Supplies & Services,26/05/2011,3025429,8200,Earth Trust,10491
Communications & Publicity,TM01,Publicity and promotion costs,Supplies & Services,26/05/2011,3025395,1394.06,Post Office Limited,13038
Didcot Arts Centre,AR04,Maintenance contracts,Supplies & Services,26/05/2011,3025405,840,Stormsaver,14023
Policy & Community Engagement,CB01,Professional,Supplies & Services,26/05/2011,3025445,7000,TV Energy Ltd,10765
Facilities Management,FM01,Maintenance contracts,Supplies & Services,26/05/2011,3025416,2352,Tyler Engineering Ltd,10768
Car Parks Holding Account,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,27/05/2011,3025448,13678.3,Henley On Thames Town Council,10316
Other Car Parks,CP99,Cash banking and debt collection services,Supplies & Services,27/05/2011,3025447,1635.9,Jade Security Services Ltd,10388
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025467,3590,A C F Heating,14353
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025462,3478,ELLIOTT AND JORDAN Ltd,10225
Town Centre Initiatives,X197,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,609843,1950,Henley On Thames Town Council,10316
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025463,521.7,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025465,526.5,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025466,538.5,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025468,6836.22,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025468,600,SOHA Housing Ltd,10651
SOHA contributions - DFGs,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025468,-600,SOHA Housing Ltd,10651
Bank A/c,X200,Cash Interface suspense,Appropriations and other non Cipfa Sub Group Accounts,31/05/2011,3025459,1669.68,Sundry Supplier,99999
Building Control Services,BC01,Agency staff,Employees,31/05/2011,609870,725,Hays PLC,13362
Land Charges,LC01,Fees and charges income,Income,31/05/2011,609810,689,Oxfordshire County Council,13934
Facilities Management,FM01,Repairs and maintenance to land and buildings,Premises,31/05/2011,3024811,931.91,C and  F Heating Services,14221
Facilities Management,FM01,Repairs and maintenance to land and buildings,Premises,31/05/2011,3025411,-931.91,C and  F Heating Services,14221
Didcot Arts Centre,AR04,Contract Cleaning,Premises,31/05/2011,609792,1557.7,Calber Facilities Management Ltd,14490
Parks and Open Spaces,OP01,Repairs & Maintenance of Grounds,Premises,31/05/2011,609861,650,Dotted Eyes,14782
Housing Act Works (was HAW Nuffield),HA01,Repairs & Maintenance of Grounds,Premises,31/05/2011,609876,570.9,G BURLEY and SONS LTD,10901
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,31/05/2011,609868,11882.6,Cable and Wireless Worldwide,14764
Legal,LS01,Communications - Postages,Supplies & Services,31/05/2011,609885,764.84,DX Network Services Ltd,10216
MFDS,CE11,Materials & consumables,Supplies & Services,31/05/2011,609865,540,Lyreco U K Ltd,10442
Legal,LS01,Legal services,Supplies & Services,31/05/2011,609889,4750,Mrs Suzanne Ware,13369
Legal,LS01,Books and Publications,Supplies & Services,31/05/2011,609882,2994,Practical Law Company,14350
PC & Intelligent Terminals,CE10,Computer Purchase of hardware,Supplies & Services,31/05/2011,609875,4918,Scalable Communications Plc,10620
Legal,LS01,Legal services,Supplies & Services,31/05/2011,609883,1394.6,Sharpe Pritchard,10629
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,31/05/2011,609844,4780,SNS,10844
Pest Control Service,PC01,Pest control services,Supplies & Services,31/05/2011,609892,1760,Total Pest Control UK Ltd,13703
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,31/05/2011,3025319,1592.74,Vodafone Limited Corporate,10784
Refuse Collection Contract,RC01,Waste Collection Biffa Fixed All,Third Party Payments,31/05/2011,609869,175839.53,Biffa,10778
Other Car Parks,CP99,Waste Collection Biffa Fixed All,Third Party Payments,31/05/2011,609869,994.83,Biffa,10778
Recharges to Vale,RC10,Waste Collection Biffa Fixed All,Third Party Payments,31/05/2011,609869,323063.5,Biffa,10778
Recycling,RY01,Waste Collection Biffa Fixed All,Third Party Payments,31/05/2011,609869,140628.04,Biffa,10778
Green Waste Recycling,RY03,Waste Collection Biffa Fixed All,Third Party Payments,31/05/2011,609869,57571.4,Biffa,10778
Wallingford Cemetery,CM03,Grounds Maintenanance-External-G Burley and Sons,Third Party Payments,31/05/2011,609876,2968.81,G BURLEY and SONS LTD,10901
Kidmore End Cemetery,CM02,Grounds Maintenanance-External-G Burley and Sons,Third Party Payments,31/05/2011,609876,2152.83,G BURLEY and SONS LTD,10901
Parks and Open Spaces,OP01,Grounds Maintenanance-External-G Burley and Sons,Third Party Payments,31/05/2011,609876,9150.88,G BURLEY and SONS LTD,10901
Parks and Open Spaces,OP01,Engineering Support -Monson,Third Party Payments,31/05/2011,609872,4937.14,Monson Engineering Ltd,10466
Conservation and Design,CN01,Agency staff,Employees,2011-01-06,609924,3900,The Conservation Studio Ltd,14725
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,2011-01-06,3025454,796.86,BT Plc,10113
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2011-01-06,3025477,775,Sundry Supplier,99999
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,2011-01-06,3025408,1732.26,Vodafone Limited Corporate,10784
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,2011-01-06,3025409,1610.53,Vodafone Limited Corporate,10784
Licences - Administration,LN01,Payments to VOWH - Salary costs,Third Party Payments,2011-01-06,3024970,-6000.42,Vale of White Horse District Council,10774
Didcot Arts Centre,AR04,Contract Cleaning,Premises,2011-02-06,609721,1246.16,Calber Facilities Management Ltd,14490
Communications & Publicity,TM01,Publicity and promotion costs,Supplies & Services,2011-02-06,3025478,679.89,Royal Mail Group Ltd,10608
Communications & Publicity,TM01,Publicity and promotion costs,Supplies & Services,2011-02-06,3025508,1394.06,Royal Mail Group Ltd,10608
EH - Food Safety,EH02,Burial costs,Supplies & Services,2011-02-06,609936,800,Tomalin and Son,12155
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-03-06,609943,25557.5,Catalyst Housing Group,12412
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-03-06,609944,23625,Catalyst Housing Group,12412
Kidmore End Parish Council,A185,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-03-06,3025506,24964,Kidmore End Parish Council,10405
2010/11 Delegated Powers,A206,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-03-06,3025512,5122,The Chiltern Centre for Disabled Children,10719
Policy Team,PP01,Agency staff,Employees,2011-03-06,3025496,1480.87,Champion Recruitment,10148
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-03-06,609950,850,Bristol Old Vic Theatre School,13623
Legal,LS01,Legal services,Supplies & Services,2011-03-06,609937,1500,Miss Sunyana Sharma,13311
Legal,LS01,Legal services,Supplies & Services,2011-03-06,609937,-750,Miss Sunyana Sharma,13311
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-03-06,609952,1021.69,Ship of Fools Comedy Alan Seaman,14400
Revenue Grants L&C,GR30,Grants,Supplies & Services,2011-03-06,3025511,21769,The Chiltern Centre for Disabled Children,10719
Payroll,PY01,Capita Contract,Third Party Payments,2011-03-06,609938,2884.1,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,2011-03-06,609938,68711.98,Capita Business Services,10129
General Ledger,AC02,Capita Contract,Third Party Payments,2011-03-06,609938,3816.04,Capita Business Services,10129
Cash Office,ES01,Capita Contract,Third Party Payments,2011-03-06,609938,2091.57,Capita Business Services,10129
Accounts Payable,ES02,Capita Contract,Third Party Payments,2011-03-06,609938,2032.9,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,2011-03-06,609938,2427.18,Capita Business Services,10129
NNDR Admin,RB02,Capita Contract,Third Party Payments,2011-03-06,609938,7372,Capita Business Services,10129
Council Tax Admin,RB03,Capita Contract,Third Party Payments,2011-03-06,609938,43909,Capita Business Services,10129
Concessionary Fares Agency,RB06,Capita Contract,Third Party Payments,2011-03-06,609939,2721.67,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,2011-03-06,609940,607.6,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,2011-03-06,609941,4392.92,Capita Business Services,10129
Land Drainage,LD01,Engineering Support -Monson,Third Party Payments,2011-03-06,609948,1200,Monson Engineering Ltd,10466
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-06-06,609953,18467.5,Catalyst Housing Group,12412
Development Management,DN01,Fees and charges income,Income,2011-06-06,3025487,1675,Sundry Supplier,99999
Leisure,LE01,Repairs & Maintenance of Fixtures & Fittings,Premises,2011-06-06,609874,3411,GDT Fire Alarm Services Ltd,14759
General Toilets,WC99,Contract Cleaning,Premises,2011-06-06,609964,3255,Wallgate Ltd,10787
PC & Intelligent Terminals,CE10,Computer Purchase of hardware,Supplies & Services,2011-06-06,609901,514.3,Acenseo,13992
Fit for the Future,CZ02,Fees and hired services,Supplies & Services,2011-06-06,609935,6800,Alexander,11801
Land Charges,LC01,Communications - Postages,Supplies & Services,2011-06-06,609978,681.01,DX Network Services Ltd,10216
Concessionary Fares Agency,RB06,Fees and hired services,Supplies & Services,2011-06-06,609931,4347.21,Euclid Limited,14292
Dual Use OCC,X800,GLL,Appropriations and other non Cipfa Sub Group Accounts,2011-07-06,609980,8333,Greenwich Leisure Limited,13867
S106 Receipts,X850,Other S106 Developers Contributions,Appropriations and other non Cipfa Sub Group Accounts,2011-07-06,610025,1351.65,REDACTED PERSONAL INFORMATION,14443
Refurbishment at Thame & Park,A187,Planning and design fees,Appropriations and other non Cipfa Sub Group Accounts,2011-07-06,610016,3500,R J L Design,14602
Corporate Training,TR12,Staff training,Employees,2011-07-06,610020,1742.4,3C Associates Ltd,11607
Personnel Administration,AD02,Agency staff,Employees,2011-07-06,3025497,1623.76,Champion Recruitment,10148
Refuse Collection Contract,RC01,Agency staff,Employees,2011-07-06,3025490,1231.49,Champion Recruitment,10148
Green Waste Recycling,RY03,Agency staff,Employees,2011-07-06,3025493,581.18,Champion Recruitment,10148
Refuse Collection Contract,RC01,Agency staff,Employees,2011-07-06,3025502,1187.91,Champion Recruitment,10148
Green Waste Recycling,RY03,Agency staff,Employees,2011-07-06,3025504,647.63,Champion Recruitment,10148
Personnel Administration,AD02,Other employee costs,Employees,2011-07-06,610030,600,REDACTED PERSONAL INFORMATION,14688
Recruitment Budget,RR00,"Recruitment Advertising - HR, IT, Customer Team",Employees,2011-07-06,610019,775.27,Newsquest Oxfordshire and Wiltshire Ltd,10481
Rent Deposit Scheme,HM02,Rent income,Income,2011-07-06,3025522,553.86,Sundry Supplier,99999
Telecommunications,CE70,Computer Maintenance of hardware,Supplies & Services,2011-07-06,609846,890,AMS Ltd,14335
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-07-06,610022,550,Morton Bates Arts Services LLP,14369
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2011-07-06,3025518,1000,REDACTED PERSONAL INFORMATION,10535
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2011-07-06,3025519,1080,REDACTED PERSONAL INFORMATION,10535
Development Management,DN01,Advertising,Supplies & Services,2011-07-06,609986,618.08,Penna Communications,14547
Development Management,DN01,Other expenses,Supplies & Services,2011-07-06,610026,3144.78,Philippa Jarvis Planning Consultancy Ltd,14796
Development Management,DN01,Other expenses,Supplies & Services,2011-07-06,610024,5115.95,Sarah Oborn - Heritage Consultant,14797
Partnerships and community safety,DR01,Professional,Supplies & Services,2011-07-06,609925,1500,Thames Valley CrimeStoppers,10708
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-08-06,3025513,4716,Easy Bathroom,14263
EH - Food Safety,EH02,Agency staff,Employees,2011-08-06,3025489,786.1,Champion Recruitment,10148
Conservation and Design,CN01,Agency staff,Employees,2011-08-06,610034,2975.85,The Conservation Studio Ltd,14725
Facilities Management,FM01,Rent income,Income,2011-08-06,3025485,7198.33,Sundry Supplier,99999
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-08-06,610036,2369.55,Fairport Convention Ltd,13964
